42|2026000006|C020|43.6|94.4|74.1|2.30|2026-07-14 11:07:00|100004|
43|2026000007|C005|74.9|92.8|85.6|3.70|2026-07-14 11:47:00|100001|
44|2026000007|C020|99.2|86.3|91.5|4.00|2026-07-14 12:23:00|100004|
45|2026000008|C003|54.6|53.0|53.8|0.00|2026-07-14 12:21:00|100001|
46|2026000008|C004|65.4|41.7|53.6|0.00|2026-07-14 12:02:00|100001|
47|2026000008|C005|51.7|47.6|49.2|0.00|2026-07-14 10:35:00|100001|
48|2026000016|C004|86.1|73.9|80.0|3.00|2026-07-14 12:49:00|100001|
49|2026000016|C018|70.0|47.1|56.3|0.00|2026-07-14 11:55:00|100004|
50|2026000016|C019|83.6|55.6|69.6|2.00|2026-07-14 12:33:00|100004|
51|2026000016|C020|92.8|71.3|79.9|3.00|2026-07-14 10:43:00|100004|
52|2026000017|C004|63.8|63.7|63.8|1.00|2026-07-14 11:35:00|100001|
53|2026000017|C018|72.3|75.9|74.5|2.30|2026-07-14 12:07:00|100004|
54|2026000017|C019|99.2|59.2|79.2|3.00|2026-07-14 12:58:00|100004|
55|2026000018|C004|96.5|85.3|90.9|4.00|2026-07-14 10:51:00|100001|
56|2026000018|C018|74.7|95.3|87.1|3.70|2026-07-14 10:09:00|100004|
57|2026000018|C019|76.6|88.2|82.4|3.30|2026-07-14 10:25:00|100004|
58|2026000019|C004|70.3|63.3|66.8|1.50|2026-07-14 11:29:00|100001|
59|2026000019|C018|51.7|89.6|74.4|2.30|2026-07-14 11:40:00|100004|
60|2026000019|C019|63.1|97.2|80.2|3.00|2026-07-14 10:19:00|100004|
61|2026000019|C020|58.9|45.9|51.1|0.00|2026-07-14 12:40:00|100004|
62|2026000024|C018|87.7|86.1|86.7|3.70|2026-07-14 10:47:00|100004|
63|2026000025|C018|83.5|91.5|88.3|3.70|2026-07-14 12:12:00|100004|
64|2026000026|C018|77.1|59.6|66.6|1.50|2026-07-14 12:54:00|100004|
65|2026000027|C018|69.3|65.7|67.1|1.50|2026-07-14 12:55:00|100004|
66|2026000028|C019|80.5|57.0|68.8|2.00|2026-07-14 10:42:00|100004|
67|2026000029|C018|63.2|78.9|72.6|2.30|2026-07-14 12:32:00|100004|
68|2026000029|C019|65.1|46.9|56.0|0.00|2026-07-14 11:36:00|100004|
69|2026000030|C004|47.8|83.0|65.4|1.50|2026-07-14 10:20:00|100001|
70|2026000030|C018|97.3|62.5|76.4|2.70|2026-07-14 10:00:00|100004|
71|2026000030|C019|99.0|49.1|74.0|2.30|2026-07-14 10:50:00|100004|
